id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,is_duplicate_title
281778,tt3297792,0.18826400000000001,0,0,Survivor,Danielle Chuchran|Kevin Sorbo|Rocky Myers|Ruby Jones|Melanie Stone,http://www.arrowstormentertainment.com/#!survivor/c1wjl,John Lyde,Alone. Stranded. Deadly,survivor,"During their search for a habitable planet the last living humans crash-land on a barren world, inhabited by bloodthirsty aliens and mysterious post-apocalyptic warriors.",93,Science Fiction|Action|Fantasy,Arrowstorm Entertainment,7/22/14,23,4.9,2014,0.0,0.0,True
296626,tt3534842,0.13276400000000002,0,0,Finders Keepers,Jaime Pressly|Kylie Rogers|Tobin Bell|Patrick Muldoon|Mark DeCarlo,,Alexander Yellen,,profession|evil doll|possession|murder|problem child,A haunted doll teaches one little girl why children shouldn't play with undead things.,85,Mystery|Thriller|Horror,HFD Productions|Hybrid LLC,10/18/14,33,4.8,2014,0.0,0.0,True
42222,tt0076245,0.39865100000000003,0,0,Julia,Jane Fonda|Vanessa Redgrave|Jason Robards|Maximilian Schell|Hal Holbrook,,Fred Zinnemann,"Through It All, Friendship Prevailed.",friends|playwright,"JULIA covers the 1930s when Lillian attained fame with the production of her play ""The Childrens' Hour"" on Broadway. It centers on Lillian's relationship with her friend, Julia. It's a relationship that goes beyond mere acquaintance and one for which the word ""love"" seems appropriate. While Julia attends the University in Vienna, Lillian suffers through revisions of her play with her mentor and sometimes lover Dashiel Hammett. After becoming a celebrated playwright, Lillian is invited to a writers conference in Russia. Julia, having taken up the battle against fascism, enlists Lillian en route to smuggle money through Nazi Germany which will assist in the Anti-Fascist cause. During a brief meeting with Julia on this trip, Lillian learns that Julia has had a child which is called Lilly.",117,Drama,Twentieth Century Fox Film Corporation,10/2/77,10,5.0,1977,0.0,0.0,True
7445,tt0765010,1.223786,26000000,43318349,Brothers,Tobey Maguire|Jake Gyllenhaal|Natalie Portman|Sam Shepard|Mare Winningham,,Jim Sheridan,There are two sides to every family.,brother brother relationship|brother-in-law|loss of husband|war in afghanistan|sister-in-law,"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill (Tobey Maguire) is presumed dead. Back home, brother Tommy (Jake Gyllenhaal) steps in to look over Samâ€™s wife, Grace (Natalie Portman), and two children. Samâ€™s surprise homecoming triggers domestic mayhem.",104,Drama|Thriller|War,Lionsgate|Relativity Media|Sighvatsson Films|Michael De Luca Productions|Palomar Pictures (II),1/27/09,381,6.7,2009,26426411.2872487,44028788.7291762,True
62320,tt1014762,0.688361,0,0,Home,Glenn Close|Yann Arthus-Bertrand|Jacques Gamblin|Salma Hayek,http://www.homethemovie.org/,Yann Arthus-Bertrand,A Stunning Visual Portrayal of Earth,climate change|earth|global warming|water pollution|well,"With aerial footage from 54 countries, Home is a depiction of how the Earth's problems are all interlinked.",95,Documentary,Europa Corp.|ElzÃ©vir Films|France 2 (FR2),6/3/09,109,7.8,2009,0.0,0.0,True
79896,tt1336006,0.3106,0,0,The Revenant,Chris Wylde|David Anders|Louise Griffiths|Jacy King,http://www.therevenantmovie.com/,D. Kerry Prior ,What could be worse than having your best friend die?,police|vigilante|blood|gangster|revenant,A horror movie/buddy comedy about Joey and his undead friend Bart who comes back from the dead as a revenant: an articulate zombie that needs to drink blood to arrest the decomposition of his body.,110,Comedy|Horror,Putrefactory Limited|Wanko Toys,8/16/09,30,5.5,2009,0.0,0.0,True
36465,tt0992993,0.250389,0,0,Into the Storm,Brendan Gleeson|Iain Glen|James D'Arcy|Janet McTeer|Robert Pugh,http://www.hbo.com/movies/into-the-storm/index.html,Thaddeus O'Sullivan,,england|world war ii|prime minister|political negotiations,"Continuing the storyline of The Gathering Storm, Churchill at War is a look at the former British prime minister's life and career at the end of WWII.",100,Drama|History|Foreign,,5/31/09,13,5.8,2009,0.0,0.0,True
21398,tt1220213,0.32124400000000003,5000000,0,Grace,Jordan Ladd|Samantha Ferris|Gabrielle Rose|Stephen Park|Serge Houde,,Paul Solet,Love. Undying.,,"In the wake of a horrific car accident that kills her husband, Michael, expectant mother Madeline Matheson discovers that her daughter, Grace, has died in the womb. Ignoring her doctor's warnings that the fetus must be removed from her body, a grief-stricken Matheson demands to carry the child to term -- even if it endangers her own life to do so. Curiously, little Grace emerges undead -- and with a craving for human blood.",94,Horror|Thriller,ArieScope Pictures|Dark Eye Entertainment|Leomax Entertainment,8/14/09,21,4.9,2009,5082002.17062476,0.0,True
220903,tt1533395,0.10222300000000001,0,0,Life,David Attenborough|Oprah Winfrey,http://www.bbc.co.uk/programmes/b00lbpcy,Martha Holmes|Simon Blakeney|Stephen Lyle,From the Makers of Planet Earth,plants|animal species|biology|wildlife|ecology,"David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth in this 10-episode miniseries. The first is an overview the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates.",500,Documentary,British Broadcasting Corporation (BBC),12/14/09,24,7.0,2009,0.0,0.0,True
41505,tt1179069,0.7948850000000001,22000000,851517,Shelter,Julianne Moore|Jonathan Rhys Meyers|Jeffrey DeMunn|Frances Conroy|Nate Corddry,http://www.shelter-movie.jp/index.html,BjÃ¶rn Stein|MÃ¥ns MÃ¥rlind,Evil will rise.,soul|faith|supernatural|murder|fear,A female forensic psychiatrist discovers that all of one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,112,Horror|Mystery|Thriller,NALA Films|IM Global|Maraci/Edelstein Films|Shelter Productions,3/27/10,112,5.5,2010,22000000.0,851517.0,True
42194,tt0411951,0.59643,30000000,967000,TEKKEN,Jon Foo|Kelly Overton|Cary-Hiroyuki Tagawa|Ian Anthony Dale|Luke Goss,,Dwight H. Little,Survival is no game,martial arts|dystopia|based on video game|martial arts tournament,"In the year of 2039, after World Wars destroy much of the civilization as we know it, territories are no longer run by governments, but by corporations; the mightiest of which is the Mishima Zaibatsu. In order to placate the seething masses of this dystopia, Mishima sponsors Tekken, a tournament in which fighters battle until only one is left standing.",92,Crime|Drama|Action|Thriller|Science Fiction,Namco|Light Song Films,3/20/10,110,5.0,2010,30000000.0,967000.0,True
33555,tt1522835,0.513524,0,0,Sherlock Holmes,Ben Syder|Gareth David-Lloyd|Dominic Keating|William Huw|Elizabeth Arends,,Rachel Goldenberg,The world's greatest detective has finally met his match.,sherlock holmes|woman director,Sherlock Holmes and Watson are on the trail of a criminal and scientific mastermind who seems to control monsters and creations which defy belief.,89,Fantasy|Drama|Horror|Action|Thriller,The Asylum,1/26/10,35,5.5,2010,0.0,0.0,True
